question_code,正答率,選択率1,選択率2,選択率3,選択率4,選択率5,識別値,70%以上のフラグ
112A112,91.6,3.1,91.6,0.5,4.7,,0.15,〇
112A113,54.2,54.2,9.6,7,29.3,,-0.06,×
112A114,71.9,0.1,0.8,27.2,71.9,,0.14,〇
112A115,90.9,0.4,2.4,90.9,6.3,,0.18,〇
112A116,56.2,24.3,56.2,15.1,4.4,,0.26,×
112A117,98,1.3,0.1,0.6,98,,0.08,〇
112A118,67.7,27.1,67.7,3,2.1,,0.31,×
112A119,83.8,2.8,83.8,10.2,3.2,,0.22,〇
112A120,99.1,0.3,0.1,0.5,99.1,,0.06,〇
112P001,95,1,95,3.8,0.3,,0.13,〇
112P002,93.2,6.2,93.2,0.6,0,,0.14,〇
112P003,97.2,1.9,0.5,97.2,0.4,,0.15,〇
112P004,98.6,0.5,0.5,98.6,0.3,,0.09,〇
112P005,98.5,0.1,1,98.5,0.4,,0.08,〇
112P006,97.1,1.3,97.1,1.5,0.1,,0.12,〇
112P007,93.5,93.5,5.9,0.5,0.1,,0.16,〇
112P008,96.9,0.4,1.6,96.9,1.1,,0.17,〇
112P009,69.9,0.9,2.6,69.9,26.7,,0.03,×
112P010,79.9,0.1,79.9,1,19,,0.27,〇
112P011,94.9,1.6,2.8,0.7,94.9,,0.24,〇
112P012,97.8,97.8,1.4,0.5,0.4,,0.14,〇
112P013,96,1.8,1,1.2,96,,0.12,〇
112P014,98.5,0.2,1,0.3,98.5,,0.11,〇
112P015,99.3,0.2,0.2,0.2,99.3,,0.06,〇
112P016,96.6,0.2,1.2,96.6,2,,0.15,〇
112P017,96.5,1.4,1.1,96.5,1.1,,0.14,〇
112P018,95,0.3,2.8,95,1.8,,0.17,〇
112P019,99.5,99.5,0.2,0.2,0,,0.05,〇
112P020,99,0.4,0.2,99,0.3,,0.06,〇
112P021,91.8,0.4,0.5,7.3,91.8,,0.21,〇
112P022,98,0.5,0.8,0.7,98,,0.12,〇
112P023,96.9,96.9,2.9,0.2,0.1,,0.12,〇
112P024,95.8,1.1,2.5,95.8,0.6,,0.17,〇
112P025,94.2,0.5,0.9,94.2,4.2,0.2,0.21,〇
112P026,14.6,30.2,46.5,8.7,14.6,,0.06,×
112P027,54.9,12.8,27.4,4.9,54.9,,0.27,×
112P028,49.7,8.6,49.7,20.3,21.4,,0.21,×
112P029,78,1.5,13,78,7.5,,0.14,〇
112P030,57.9,11,57.9,3.3,27.8,,0.35,×
112P031,74.4,2.4,3.7,19.5,74.4,,0.20,〇
112P032,86,86,3,5.2,5.9,,-0.08,〇
112P033,34.9,38,7.3,34.9,19.9,,0.09,×
112P034,95.5,1.9,95.5,2,0.6,,0.19,〇
112P035,NULL,37.9,9.5,31.2,21.3,,nan,〇
112P036,58,39,2.4,0.6,58,,0.01,×
112P037,54.7,26.3,54.7,9.5,9.6,,0.24,×
